Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Search
AXGN,axogen ,20.86,812393304.9,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/axgn,AXGN axogen 
LASR,nlight ,22.11,808603846.7,,2018,Technology,Semiconductors,https://www.nasdaq.com/symbol/lasr,LASR nlight 
CTWS,connecticut water service ,67,808028040,,,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/ctws,CTWS connecticut water service 
ANGO,angiodynamics ,21.75,807734165.3,,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ango,ANGO angiodynamics 
KRNT,kornit digital ltd,22.95,803292526.4,,2015,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/krnt,KRNT kornit digital ltd
TUSK,mammoth energy services ,17.94,802916863.3,,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/tusk,TUSK mammoth energy services 
CIBR,first trust nasdaq cybersecurity etf,27.9299,801588185.9,,,,,https://www.nasdaq.com/symbol/cibr,CIBR first trust nasdaq cybersecurity etf
OSPN,onespan ,19.81,796857250,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ospn,OSPN onespan 
ATNX,athenex ,11.87,795568921.3,,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnx,ATNX athenex 
TRST,trustco bank  ny,8.22,795250952.8,,,Finance,Major Banks,https://www.nasdaq.com/symbol/trst,TRST trustco bank  ny
OFLX,omega flex ,78.29,790088744.4,,,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/oflx,OFLX omega flex 
CASH,meta financial group ,20.02,789188219.8,,1993,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cash,CASH meta financial group 
INTL,intl fcstone ,41.32,788360353.5,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/intl,INTL intl fcstone 
JBSS,john b sanfilippo & son ,69.23,788305394.8,,1991,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jbss,JBSS john b sanfilippo & son 
ABTX,allegiance bancshares ,36.34,787558844.7,,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,ABTX allegiance bancshares 
PETQ,petiq ,27.94,787447465,,2017,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/petq,PETQ petiq 
PSCH,invesco s&p smallcap health care etf,117.52,787384000,,,,,https://www.nasdaq.com/symbol/psch,PSCH invesco s&p smallcap health care etf
LXRX,lexicon pharmaceuticals ,7.41,784907228.8,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lxrx,LXRX lexicon pharmaceuticals 
YMAB,y-mabs therapeutics ,22.91,783376888.1,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ymab,YMAB y-mabs therapeutics 
PEY,invesco high yield equity dividend achievers etf,17.89,782687500,,,,,https://www.nasdaq.com/symbol/pey,PEY invesco high yield equity dividend achievers etf
VRAY,viewray ,8.17,782115848.4,,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vray,VRAY viewray 
OPB,opus bank,21.66,781028951.1,,2014,,,https://www.nasdaq.com/symbol/opb,OPB opus bank
URGN,urogen pharma ltd,38.06,779333420.6,,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/urgn,URGN urogen pharma ltd
MCRI,monarch casino & resort ,43.34,776610370.1,,1993,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/mcri,MCRI monarch casino & resort 
HSII,heidrick & struggles international ,40.75,773612018,,1999,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/hsii,HSII heidrick & struggles international 
ORIT,oritani financial ,17.19,773301415.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/orit,ORIT oritani financial 
RUTH,ruth&#39;s hospitality group ,25.29,767316808.8,,2005,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ruth,RUTH ruth&#39;s hospitality group 
NVEE,nv5 global ,61,765597031,,2013,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/nvee,NVEE nv5 global 
CBAY,cymabay therapeutics ,12.85,764194228.8,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbay,CBAY cymabay therapeutics 
NTLA,intellia therapeutics ,16.69,755323808.3,,2016,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ntla,NTLA intellia therapeutics 
ANIP,ani pharmaceuticals ,63.49,753130633.6,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anip,ANIP ani pharmaceuticals 
RDNT,radnet ,15.26,746736975.5,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/rdnt,RDNT radnet 
CENX,century aluminum company,8.47,746236136.8,,1996,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx,CENX century aluminum company
CASA,casa systems ,8.95,743997551.1,,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa,CASA casa systems 
CNSL,consolidated communications holdings ,10.44,743195422.4,,2005,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/cnsl,CNSL consolidated communications holdings 
PFBC,preferred bank,48.47,742847536.3,,,,,https://www.nasdaq.com/symbol/pfbc,PFBC preferred bank
ITCI,intra-cellular therapies ,13.42,739666637.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/itci,ITCI intra-cellular therapies 
HMST,homestreet ,27.26,736912765,,2012,Finance,Major Banks,https://www.nasdaq.com/symbol/hmst,HMST homestreet 
CONN,conn&#39;s ,22.94,727839104.2,,2003,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/conn,CONN conn&#39;s 
GOGL,golden ocean group limited,5.06,727009146.8,,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/gogl,GOGL golden ocean group limited
TRUE,truecar ,6.93,726837817.9,,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/true,TRUE truecar 
FOSL,fossil group ,14.65,726753859.8,,1993,Consumer Non-Durables,Consumer Specialties,https://www.nasdaq.com/symbol/fosl,FOSL fossil group 
CARA,cara therapeutics ,18.37,726488640.5,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cara,CARA cara therapeutics 
EIDX,eidos therapeutics ,19.74,725389372.7,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eidx,EIDX eidos therapeutics 
VYGR,voyager therapeutics ,19.66,723423652.8,,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/vygr,VYGR voyager therapeutics 
DCOM,dime community bancshares ,20.01,722219969.5,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/dcom,DCOM dime community bancshares 
OSUR,orasure technologies ,11.7,721457614.8,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/osur,OSUR orasure technologies 
DLTH,duluth holdings ,22.08,719341582.1,,2015,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dlth,DLTH duluth holdings 
RCKT,rocket pharmaceuticals ,15.92,718221837,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rckt,RCKT rocket pharmaceuticals 
ITRN,ituran location and control ltd,34.13,715661253.2,,2005,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/itrn,ITRN ituran location and control ltd
CASS,cass information systems ,49.15,713924343.9,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cass,CASS cass information systems 
DXPE,dxp enterprises ,40.57,713288027.3,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dxpe,DXPE dxp enterprises 
UIHC,united insurance holdings ,16.54,710964920.1,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/uihc,UIHC united insurance holdings 
BLDP,ballard power systems ,3.06,709626163.5,,,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bldp,BLDP ballard power systems 
JOUT,johnson outdoors ,70.2,704736817.2,,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jout,JOUT johnson outdoors 
ADTN,adtran ,14.75,704711384.3,,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,ADTN adtran 
VRTS,virtus investment partners ,100.46,704343343.7,,,Finance,Investment Managers,https://www.nasdaq.com/symbol/vrts,VRTS virtus investment partners 
MGTX,meiragtx holdings plc,21.21,703826998.1,,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/mgtx,MGTX meiragtx holdings plc
SRDX,surmodics ,52.11,702561350.3,,1998,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/srdx,SRDX surmodics 
VEAC,vantage energy acquisition ,10.18,702420000,,2017,Finance,Business Services,https://www.nasdaq.com/symbol/veac,VEAC vantage energy acquisition 
VIVO,meridian bioscience ,16.5,701071833,,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vivo,VIVO meridian bioscience 
